semester,category,number,name,credit
1092,G,991202,錄音實務與音樂創作,3.00
1092,G,991032,戲劇欣賞,2.00
1092,G,991065,音樂與生活,2.00
1092,G,991148,跨文化導讀,2.00
1092,G,991160,語言、文化與溝通,2.00
1092,G,991167,從電影看世界,3.00
1092,G,991170,文人畫美學與習作-山水,3.00
1092,G,991183,書法-楷書概論與習作,3.00
1092,G,991191,巷弄、文學與生活,3.00
1092,G,991201,網路社群與多媒體製作,3.00
1092,G,992176,原住民文學,3.00
1092,G,991024,歌劇欣賞,2.00
1092,G,991040,戲劇與人生,2.00
1092,G,991147,電影與文學,2.00
1092,G,991153,地方達人-紙的想像與實踐,1.00
1092,G,991166,微電影剪輯與製作,3.00
1092,G,991168,浪漫愛：論述與影像,3.00
1092,G,991182,藝文展示與導覽設計,2.00
1092,G,991190,美學散策,3.00
1092,G,991193,日本文化與美學,3.00
1092,H,991051,文化創意產業概論,2.00
1092,H,991074,哲學與人生,3.00
1092,H,991087,台灣電影與社會文化,2.00
1092,H,991144,倫理學的理論與應用,2.00
1092,H,991163,世界城市和台灣地方,3.00
1092,H,991179,地方學：族群與信仰,3.00
1092,H,991192,宗教文化與生活,3.00
1092,H,992073,哲學概論,2.00
1092,H,992075,埔里開發史,2.00
1092,H,992154,生死學概論,2.00
1092,H,994044,賽德克族傳統的農事與祭儀,3.00
1092,H,991071,中國文化導論,3.00
1092,H,991075,與哲學家對話,3.00
1092,H,991140,西洋哲學史,3.00
1092,H,991176,日本文化與生活,2.00
1092,H,991181,地方達人：考古遺址與史前文化,1.00
1092,H,991197,正念認知療癒練習,2.00
1092,H,992087,台灣歷史與文化,2.00
1092,H,992171,正念減壓與生活藝術,2.00
1092,I,984003,全球議題與國際發展,2.00
1092,I,992076,教育家圖像,2.00
1092,I,992108,政治及財經新聞解讀,2.00
1092,I,992156,政治哲學概論,2.00
1092,I,992179,大學生活與法律,2.00
1092,I,992211,互動學習與社群經營,2.00
1092,I,992227,當代電影中的議題與政策辯論,3.00
1092,I,994025,城鄉問題與規劃,2.00
1092,I,992007,與領導有約,2.00
1092,I,992101,政治學概論,3.00
1092,I,992112,國際文教概論-歐美篇,3.00
1092,I,992178,情緒覺察與能量平衡,2.00
1092,I,992188,樂在耆中：在地老化社區參與,3.00
1092,I,992218,媒體識讀與資訊整合,3.00
1092,I,992228,家庭生活教育概論,2.00
1092,J,992033,台灣社會問題剖析,2.00
1092,J,992062,從經濟學看世界,2.00
1092,J,992120,國際禮儀與商務溝通技巧,2.00
1092,J,992141,財務報表與企業經營,3.00
1092,J,992152,城市與影像,2.00
1092,J,992191,當代城鄉與社會空間,3.00
1092,J,992193,地方達人-咖啡產業與飲調,1.00
1092,J,992205,不動產投資與交易實務,3.00
1092,J,992213,數位金融與生活,3.00
1092,J,992217,地方學：經濟與產業,3.00
1092,J,992226,品牌管理與新創,3.00
1092,J,994041,夢與自我探索,3.00
1092,J,992035,全球化現象導論,2.00
1092,J,992110,個體經濟焦點,2.00
1092,J,992135,資訊、經濟與社會生活,2.00
1092,J,992151,社會學概論,3.00
1092,J,992177,人類學的影像世界,3.00
1092,J,992192,社區防災與城鎮復原力,3.00
1092,J,992203,金融市場新聞選讀與解析應用,3.00
1092,J,992209,鄉村長期照顧與社會創新,3.00
1092,J,992215,專案管理與實務,3.00
1092,J,992223,韌性社區實作,3.00
1092,J,992230,運動賽會行銷及賽事規劃管理,2.00
1092,K,993023,安全與衛生概論,2.00
1092,K,993060,生活安全與防災概論,2.00
1092,K,993068,生物與電子訊息之認識,3.00
1092,K,993107,營造綠色生活,3.00
1092,K,993116,野趣創客,2.00
1092,K,993143,JavaScript,A101
1092,K,993146,基礎程式語言學習,2.00
1092,K,993148,程式工作坊,1.00
1092,K,993055,工程倫理,2.00
1092,K,993064,數學遊戲,3.00
1092,K,993075,尖端科技通俗講座,3.00
1092,K,993111,零基礎程式設計入門,3.00
1092,K,993120,生活藝術與科技,3.00
1092,K,993144,創新科技與人文社會之鏈結,2.00
1092,K,993149,互動音樂程式設計與創作,1.00
1092,L,510003,醫療經濟資料庫建置與分析,2.00
1092,L,993002,急救醫學,2.00
1092,L,993022,城鄉生態,2.00
1092,L,993054,醫藥與健康,2.00
1092,L,993093,癌症預防與治療,2.00
1092,L,993106,圖解生命原理,3.00
1092,L,993129,運動傷害與急救,2.00
1092,L,993137,社區保育與調查技術,3.00
1092,L,993145,生物化學與日常,2.00
1092,L,993150,肌力與體能訓練,3.00
1092,L,993152,教練指導學,2.00
1092,L,993001,運動與健康,2.00
1092,L,993013,生態旅遊與城鄉自然資源規劃,3.00
1092,L,993036,自然保育概論,2.00
1092,L,993086,輻射與環境,2.00
1092,L,993095,食品衛生與安全,2.00
1092,L,993126,地方達人：新農業發展,1.00
1092,L,993131,聯合國永續發展目標,2.00
1092,L,993141,化學材料與生活應用,3.00
1092,L,993147,應用生活微生物學,2.00
1092,L,993151,運動技術分析,3.00
1092,M,992106,東南亞社會文化,2.00
1092,M,994009,東南亞史,3.00
1092,M,994022,東南亞觀光與發展,2.00
1092,M,994032,泰緬邊境的多重文化,2.00
1092,M,994083,緬甸文化概論,3.00
1092,M,994096,東南亞宗教與社會,3.00
1092,M,994098,東南亞街區探究與設計思考,3.00
1092,M,994010,東南亞教育制度,2.00
1092,M,994030,東南亞經濟及法律閱讀,3.00
1092,M,994048,從泰國電影看泰國社會與文化,2.00
1092,M,994084,閱讀緬甸移民、難民時事新聞與寫作,3.00
1092,M,994097,東南亞的日常習俗,3.00
1092,M,994099,東南亞街區探究與遊戲設計,3.00
1092,N,993062,全球環境變遷與永續發展,3.00
1092,N,994002,濕地生態保育,3.00
1092,N,994012,生態保育與綠色地圖,2.00
1092,N,994024,生態產業與個案分析,3.00
1092,N,994036,生機蔬果栽培與料理,3.00
1092,N,994082,地方達人-變動中的農村,1.00
1092,N,994001,攝影的生態關懷,3.00
1092,N,994003,綠色能源,3.00
1092,N,994020,永續能源、資源暨碳管理,3.00
1092,N,994027,綠色工法,3.00
1092,N,994074,社區環境教育實作,3.00
1092,N,994100,鐵馬革命：單車小旅行,3.00
1092,O,994017,鄉村生態旅遊,3.00
1092,O,994057,南投產業再設計,3.00
1092,O,994066,程式與教育服務,3.00
1092,O,994071,地方達人-埔里的蝴蝶,1.00
1092,O,994075,鄉鎮創新與永續發展,2.00
1092,O,994077,平埔文化保存與活化,3.00
1092,O,994078,水圳與環境踏查,3.00
1092,O,994088,地方知識建構的方法,3.00
1092,O,994095,鄉村社會教育,3.00
1092,O,994054,社區藝術與社會參與,3.00
1092,O,994065,R立方創新實作-昆蟲博物館,3.00
1092,O,994068,在地企業的創新營運,2.00
1092,O,994073,地方學：文化與生態,3.00
1092,O,994076,地方達人：初探民宿經營實務,1.00
1092,O,994086,R立方創新實作：永續生活設計實踐之路,3.00
1092,O,994089,R立方創新實作:地方微型創業實務,3.00
